2026-05-16 08:41:08 | WARNING  | main | RESPONSE POST /documents/upload → 500 (6337.0ms)
2026-08-07 12:20:56 | WARNING  | main | RESPONSE GET / → 404 (9.3ms)
2026-08-07 15:02:04 | WARNING  | main | RESPONSE GET /dispatch.asp → 404 (2.9ms)
2026-08-07 15:04:00 | WARNING  | main | RESPONSE GET / → 404 (1.7ms)
2026-08-07 18:52:53 | WARNING  | main | RESPONSE GET / → 404 (3.7ms)
2026-08-07 19:04:05 | WARNING  | main | RESPONSE GET / → 404 (8.8ms)
2026-08-07 19:04:05 | WARNING  | main | RESPONSE GET /favicon.ico → 404 (6.8ms)
2026-08-08 01:25:55 | WARNING  | main | RESPONSE GET /dispatch.asp → 404 (3.3ms)
2026-08-08 04:22:39 | WARNING  | main | RESPONSE GET / → 404 (3.3ms)
2026-08-08 04:22:40 | WARNING  | main | RESPONSE GET /favicon.ico → 404 (4.8ms)
2026-08-08 04:22:40 | WARNING  | main | RESPONSE GET / → 404 (4.9ms)
2026-08-08 04:22:40 | WARNING  | main | RESPONSE GET /mcp/ → 404 (3.5ms)
2026-08-08 04:22:40 | WARNING  | main | RESPONSE GET /api/mcp → 404 (4.6ms)
2026-08-08 04:22:41 | WARNING  | main | RESPONSE GET /mcp → 404 (2.4ms)
2026-08-08 04:22:41 | WARNING  | main | RESPONSE GET /sse → 404 (1.9ms)
2026-08-08 06:48:25 | WARNING  | main | RESPONSE GET / → 404 (11.4ms)
2026-08-08 07:17:49 | WARNING  | main | RESPONSE GET / → 404 (2.6ms)
2026-08-08 07:22:52 | WARNING  | main | RESPONSE GET /favicon.ico → 404 (4.9ms)
2026-08-08 07:45:35 | WARNING  | main | RESPONSE GET / → 404 (4.8ms)
2026-08-08 07:45:36 | WARNING  | main | RESPONSE GET /favicon.ico → 404 (2.6ms)
2026-08-08 10:49:06 | WARNING  | main | RESPONSE GET / → 404 (56.7ms)
2026-08-08 10:49:06 | WARNING  | main | RESPONSE GET /favicon.ico → 404 (2.2ms)
2026-08-08 10:49:06 | WARNING  | main | RESPONSE GET / → 404 (1.9ms)
2026-08-08 10:49:06 | WARNING  | main | RESPONSE GET /mcp → 404 (1.9ms)
2026-08-08 10:49:16 | WARNING  | main | RESPONSE GET /sse → 404 (2.4ms)
2026-08-08 10:51:42 | WARNING  | main | RESPONSE GET /dispatch.asp → 404 (1.9ms)
2026-08-08 11:45:39 | WARNING  | main | RESPONSE GET /metrics → 404 (49.0ms)
2026-08-08 11:46:19 | WARNING  | main | RESPONSE GET /metrics → 404 (27.8ms)
2026-08-08 14:59:08 | WARNING  | main | RESPONSE GET / → 404 (31.1ms)
2026-08-08 14:59:42 | WARNING  | main | RESPONSE GET /favicon.ico → 404 (15.0ms)
